code,parent,title
MKP_GOLF_EQPT,MKP_GOLF,Equipement de golf 
MKP_GOLF_BAGS,MKP_GOLF,Sacs de golf 
MKP_GOLF_CARTS,MKP_GOLF,Chariots de golf 
MKP_GOLF_SHOES,MKP_GOLF,Chaussures golf 
MKP_GOLF_GPS_RANGEFINDER,MKP_GOLF,GPS et Télémètres Golf 
MKP_WINDSURFING,MKP_OUTDOOR,Windsurf 
MKP_WINDSURFING_MASTS_SAILS,MKP_WINDSURFING,"Mâts, Voiles, Wishbones "
MKP_WINDSURFING_BOARDS,MKP_WINDSURFING,"Planches Kitesurf, Windsurf "
MKP_WINDSURFING_RIGS,MKP_WINDSURFING,"Flotteurs Kitesurf, windsurf "
MKP_WINDSURFING_ACCESS,MKP_WINDSURFING,Accessoires windsurf 
MKP_WINDSURFING_CLOTHING,MKP_WINDSURFING,Vêtements Néoprène windsurf 
MKP_KITESURFING,MKP_OUTDOOR,Kitesurf 
MKP_KITESURFING_KITE,MKP_KITESURFING,Ailes et voiles kitesurf
MKP_KITESURFING_HARNESSES,MKP_KITESURFING,Harnais 
MKP_KITESURFING_ACCESS,MKP_KITESURFING,Accessoires kitesurf 
MKP_KITESURFING_CLOTHING,MKP_KITESURFING,Vêtement Néoprène kitesurf
